City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
114,Copiapo,CL,-27.3667,-70.3333,49.69,61,100,2.39,overcast clouds,2022-07-21 01:27:27
115,Provideniya,RU,64.3833,-173.3,46.51,71,75,13.42,broken clouds,2022-07-21 01:27:27
116,Palmer,US,42.1584,-72.3287,83.07,74,0,4.36,clear sky,2022-07-21 01:27:27
117,Myre,NO,69.1036,15.9492,57.34,90,75,9.48,broken clouds,2022-07-21 01:27:28
118,Thompson,CA,55.7435,-97.8558,64.56,82,75,8.05,broken clouds,2022-07-21 01:24:32
119,Xai-Xai,MZ,-25.0519,33.6442,63.39,85,0,2.13,clear sky,2022-07-21 01:27:28
120,Bafq,IR,31.6128,55.4107,79.88,21,0,4.25,clear sky,2022-07-21 01:27:28
121,Yulin,CN,22.6333,110.15,83.68,78,90,6.73,overcast clouds,2022-07-21 01:27:28
122,Broken Hill,AU,-31.95,141.4333,48.47,91,95,14.65,overcast clouds,2022-07-21 01:23:16
123,Alekseyevsk,RU,57.8406,108.3492,62.96,75,100,3.6,overcast clouds,2022-07-21 01:27:29
124,Ponta Do Sol,PT,32.6667,-17.1,70.72,80,12,5.64,few clouds,2022-07-21 01:23:06
125,Hearst,CA,49.6835,-83.6665,66.45,99,100,4.36,overcast clouds,2022-07-21 01:27:29
126,Brae,GB,60.3964,-1.353,51.94,87,87,17.2,overcast clouds,2022-07-21 01:27:30
127,Reading,GB,51.4562,-0.9711,63.25,73,0,5.75,clear sky,2022-07-21 01:23:39
128,Atar,MR,20.5169,-13.0499,85.89,47,18,11.43,few clouds,2022-07-21 01:18:26
129,Komsomolskiy,UZ,40.4272,71.7189,77.72,36,0,6.91,clear sky,2022-07-21 01:27:30
130,Isla Vista,US,34.4133,-119.861,89.35,47,100,7.09,overcast clouds,2022-07-21 01:27:30
131,Wahiawa,US,21.5028,-158.0236,82.72,72,94,14.52,overcast clouds,2022-07-21 01:27:31
132,San Jose,US,37.3394,-121.895,88.7,43,0,13.8,clear sky,2022-07-21 01:26:55
133,Dwarka,IN,22.2394,68.9678,81.48,85,100,20.94,overcast clouds,2022-07-21 01:27:31
134,Moerai,PF,-22.4333,-151.3333,71.22,71,98,35.25,overcast clouds,2022-07-21 01:27:31
135,Souillac,MU,-20.5167,57.5167,66.58,82,75,12.66,broken clouds,2022-07-21 01:27:32
136,Cibitoke,BI,-2.8833,29.25,60.49,63,12,3.85,few clouds,2022-07-21 01:27:32
137,Pacific Grove,US,36.6177,-121.9166,75.24,85,75,8.05,broken clouds,2022-07-21 01:24:49
138,Atamanovka,RU,51.93,113.63,66.63,64,1,7.67,clear sky,2022-07-21 01:28:33
139,Mar Del Plata,AR,-38.0023,-57.5575,57.09,65,0,10.36,clear sky,2022-07-21 01:17:51
140,Kruisfontein,ZA,-34.0033,24.7314,49.89,92,11,6.76,few clouds,2022-07-21 01:19:31
141,Rongcheng,CN,30.634,117.8517,84.88,82,100,2.3,overcast clouds,2022-07-21 01:28:33
142,Ushtobe,KZ,45.2514,77.9838,75.69,19,0,3.76,clear sky,2022-07-21 01:28:33
143,Bathsheba,BB,13.2167,-59.5167,81.21,95,40,16.11,scattered clouds,2022-07-21 01:28:34
144,Anadyr,RU,64.75,177.4833,50.5,57,75,13.42,broken clouds,2022-07-21 01:28:34
145,Alugan,PH,12.2188,125.4808,84.02,76,100,5.88,light rain,2022-07-21 01:28:34
146,Sosnovo-Ozerskoye,RU,52.5249,111.5418,62.47,60,100,8.79,overcast clouds,2022-07-21 01:28:35
147,Rawson,AR,-43.3002,-65.1023,43.47,42,0,27.47,clear sky,2022-07-21 01:23:18
148,Lake Havasu City,US,34.4839,-114.3224,115.41,15,0,5.75,clear sky,2022-07-21 01:28:35
149,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,87,75,9.22,broken clouds,2022-07-21 01:28:35
150,Kodiak,US,57.79,-152.4072,58.51,67,0,10.36,clear sky,2022-07-21 01:28:36
151,Mangochi,MW,-14.4782,35.2645,67.06,63,31,4.03,scattered clouds,2022-07-21 01:28:36
152,Diego De Almagro,CL,-26.3667,-70.05,60.57,49,100,1.59,overcast clouds,2022-07-21 01:28:36
153,Yatou,CN,37.15,122.3833,75.96,75,56,8.46,broken clouds,2022-07-21 01:28:37
154,Christchurch,NZ,-43.5333,172.6333,44.47,93,75,24.16,light rain,2022-07-21 01:26:50
155,Velasco Ibarra,EC,-1.05,-79.6167,74.8,85,72,3.49,light rain,2022-07-21 01:28:37
156,Ixtepec,MX,16.5786,-95.1022,81.73,68,43,11.59,scattered clouds,2022-07-21 01:28:37
157,Nisia Floresta,BR,-6.0911,-35.2086,75.58,96,78,5.57,broken clouds,2022-07-21 01:28:38
158,Tammisaari,FI,59.9736,23.4339,59.9,96,31,0.87,scattered clouds,2022-07-21 01:28:38
159,Torbay,CA,47.6666,-52.7314,64.58,87,100,18.41,overcast clouds,2022-07-21 01:14:24
160,Ayr,GB,55.4627,-4.6339,57.18,82,100,11.5,overcast clouds,2022-07-21 01:28:38
161,Boa Vista,BR,2.8197,-60.6733,84.18,65,40,4.61,scattered clouds,2022-07-21 01:28:39
162,Port Elizabeth,ZA,-33.918,25.5701,54.32,93,75,4.61,broken clouds,2022-07-21 01:23:59
163,Qeshm,IR,26.9581,56.2719,89.47,81,8,11.72,clear sky,2022-07-21 01:28:39
164,Quesnel,CA,52.9999,-122.5029,81.1,29,100,4.61,overcast clouds,2022-07-21 01:28:39
165,San Rafael,AR,-34.6177,-68.3301,56.53,20,0,5.06,clear sky,2022-07-21 01:28:40
166,Katsuura,JP,35.1333,140.3,80.64,77,100,9.46,overcast clouds,2022-07-21 01:19:25
167,Pevek,RU,69.7008,170.3133,31.75,87,100,15.9,overcast clouds,2022-07-21 01:28:40
168,Walvis Bay,NA,-22.9575,14.5053,51.1,81,0,3.44,clear sky,2022-07-21 01:28:40
169,Mandera,KE,3.9366,41.867,74.91,46,100,16.96,overcast clouds,2022-07-21 01:28:41
170,Vagur,FO,61.4732,-6.8119,49.41,89,99,15.99,overcast clouds,2022-07-21 01:28:41
171,Qaanaaq,GL,77.484,-69.3632,39.99,84,100,4.5,overcast clouds,2022-07-21 01:28:41
172,Ancud,CL,-41.8697,-73.8203,40.23,65,41,9.01,scattered clouds,2022-07-21 01:28:42
173,Qaqortoq,GL,60.7167,-46.0333,46.56,96,41,1.41,scattered clouds,2022-07-21 01:28:42
174,Ingham,US,42.6,-84.3833,78.75,63,100,5.75,overcast clouds,2022-07-21 01:28:42
175,Port Augusta,AU,-32.5,137.7667,55.31,49,11,4.85,few clouds,2022-07-21 01:28:42
176,Palauig,PH,15.435,119.9045,86.27,66,100,0.72,overcast clouds,2022-07-21 01:28:43
177,Okhotsk,RU,59.3833,143.3,62.02,84,100,5.1,overcast clouds,2022-07-21 01:28:43
178,Carballo,ES,43.213,-8.691,65.01,93,62,6.42,broken clouds,2022-07-21 01:28:43
179,Sambava,MG,-14.2667,50.1667,68.83,83,10,13.24,light rain,2022-07-21 01:28:44
180,Bethel,US,41.3712,-73.414,83.77,75,0,6.31,clear sky,2022-07-21 01:25:15
181,Amapa,BR,1.0,-52.0,71.76,99,11,1.25,few clouds,2022-07-21 01:29:44
182,Waitati,NZ,-45.75,170.5667,45.81,65,94,8.7,overcast clouds,2022-07-21 01:29:44
183,Puerto Cabezas,NI,14.0351,-83.3888,78.48,84,65,8.19,broken clouds,2022-07-21 01:29:45
184,Odesskoye,RU,54.2111,72.9651,60.69,90,0,12.71,clear sky,2022-07-21 01:29:45
185,Auki,SB,-8.7676,160.7034,85.91,62,100,2.86,overcast clouds,2022-07-21 01:24:26
186,Jackson,US,42.4165,-122.8345,99.05,19,0,11.5,clear sky,2022-07-21 01:29:45
187,Kelvington,CA,52.1667,-103.5343,65.1,61,51,15.77,broken clouds,2022-07-21 01:29:46
188,Aitape,PG,-3.1374,142.3475,85.44,64,81,5.48,broken clouds,2022-07-21 01:24:25
189,Hobro,DK,56.6431,9.7903,64.0,93,93,5.06,overcast clouds,2022-07-21 01:29:46
190,Carnarvon,AU,-24.8667,113.6333,68.07,94,100,8.05,overcast clouds,2022-07-21 01:29:46
191,Bartlett,US,35.2045,-89.874,90.14,69,0,12.66,clear sky,2022-07-21 01:29:47
192,Bilma,NE,18.6853,12.9164,88.18,36,55,6.62,broken clouds,2022-07-21 01:29:47
193,Biak,ID,-0.9131,122.8766,80.85,74,16,3.24,few clouds,2022-07-21 01:29:47
194,Sabha,LY,27.0377,14.4283,79.3,27,0,8.68,clear sky,2022-07-21 01:29:48
195,Arkadak,RU,51.9326,43.4978,56.53,93,100,8.14,light rain,2022-07-21 01:29:48
196,Lasa,IT,46.6166,10.7002,66.36,88,0,1.88,clear sky,2022-07-21 01:29:48
197,Clearlake,US,38.9582,-122.6264,97.57,21,0,11.52,clear sky,2022-07-21 01:29:48
198,Ilulissat,GL,69.2167,-51.1,57.22,44,75,14.97,broken clouds,2022-07-21 01:29:49
199,Victoria,HK,22.2855,114.1577,89.96,79,14,8.01,few clouds,2022-07-21 01:28:31
200,Cardston,CA,49.2,-113.3019,82.69,17,3,11.5,clear sky,2022-07-21 01:29:49
201,At-Bashi,KG,41.1702,75.8106,62.96,37,0,6.76,clear sky,2022-07-21 01:29:49
202,Langsa,ID,4.4683,97.9683,76.5,91,99,2.51,overcast clouds,2022-07-21 01:29:50
203,Palana,RU,59.1167,159.9667,57.11,65,59,13.49,broken clouds,2022-07-21 01:29:50
204,Anuradhapura,LK,8.3565,80.4173,78.6,81,100,9.24,overcast clouds,2022-07-21 01:29:50
205,Maragogi,BR,-9.0122,-35.2225,74.98,88,100,12.1,overcast clouds,2022-07-21 01:29:51
206,Borzya,RU,50.3833,116.5167,72.64,68,43,6.82,scattered clouds,2022-07-21 01:29:51
207,Portland,US,45.5234,-122.6762,93.61,35,20,10.36,few clouds,2022-07-21 01:23:00
208,Talnakh,RU,69.4865,88.3972,56.21,65,100,7.92,overcast clouds,2022-07-21 01:20:40
